@id,@type,name,@lat,@lon
432618940,node,ローソン・スリーエフ,35.6497801,139.6237386
432632495,node,ローソン,35.6689477,139.6166816
436272904,node,ファミリーマート,35.6170525,139.5622530
440104916,node,ローソン,35.7004319,139.6359168
440589393,node,ファミリーマート,35.6238971,139.6135425
440670995,node,ファミリーマート,35.6727752,139.6085850
441523546,node,ローソン・スリーエフ,35.5871679,139.6755558
441523578,node,スリーエフ,35.5857275,139.6801740
441523643,node,ナチュラルローソン,35.5873713,139.6917755
441676710,node,ファミリーマート,35.7426385,139.8129221
441689910,node,セブン-イレブン,35.7345133,139.8005793
442066659,node,セブン-イレブン,35.5982191,139.7105426
442128582,node,セブン-イレブン,35.6015044,139.6997412
442128616,node,ファミリーマート,35.6178394,139.6758042
442128630,node,ナチュラルローソン,35.6170021,139.6766902
442128637,node,ファミリーマート,35.6096709,139.6768953
442150063,node,ローソン,35.6036467,139.6717981
442165484,node,ファミリーマート,35.5961334,139.6700317
442291485,node,セブン-イレブン,35.5610962,139.6751152
442987131,node,ファミリーマート,35.6272088,139.5730845
443203670,node,セブン-イレブン,35.5353661,139.6531757
443203682,node,ローソン,35.5253645,139.6498483
443521113,node,ファミリーマート,35.6372774,139.5877365
443532731,node,ファミリーマート,35.6658860,139.5885560
443534114,node,ローソン,35.6706841,139.5887653
443666230,node,ミニストップ,35.6722513,139.6603825
443672048,node,セブン-イレブン,35.6688165,139.6592076
448137624,node,ローソン,35.6676092,139.6505405
457661283,node,セブン-イレブン,35.7430063,139.8131583
472988322,node,セブン-イレブン,35.6568574,139.6188267
474542289,node,ファミリーマート 松戸七畝割店,35.7780712,139.9085275
474605269,node,ファミリーマート,35.6692143,139.7499649
474605283,node,セブン-イレブン,35.6680820,139.7540003
474605289,node,ローソン,35.6676069,139.7547416
475622981,node,セブン-イレブン,35.6556322,139.6532388
476508225,node,ファミリーマート,35.7596036,139.6565627
476570952,node,セブン-イレブン,35.6832943,139.6553683
476571399,node,ファミリーマート,35.6830160,139.6554530
477326957,node,ファミリーマート,35.7090737,139.5940313
480761917,node,ファミリーマート,35.6524268,139.6377285
484579618,node,セブン-イレブン,35.6929285,139.6039424
484669202,node,ローソン,35.6922056,139.5884459
485236536,node,デイリーヤマザキ,35.6699744,139.5798644
485608677,node,セブン-イレブン,35.6785818,139.6455275
494783781,node,ファミリーマート,35.7893837,139.9330115
497528792,node,ローソン,35.6583030,139.6832455
497529324,node,ファミリーマート,35.6639636,139.6787354
502929667,node,セブン-イレブン,35.6566422,139.6347012
503879534,node,ファミリーマート,35.7999984,139.9210908
503883154,node,ファミリーマート,35.7906262,139.9233410
503927495,node,セブン-イレブン,35.8003240,139.9126149
503935641,node,ファミリーマート,35.7999994,139.9120111
506092002,node,ローソンストア100,35.6504449,139.6459023
508454538,node,ファミリーマート,35.6646938,139.6942154
508585822,node,ファミリーマート,35.7059034,139.5825934
508585827,node,セブン-イレブン,35.7054642,139.5834993
518431963,node,セブン-イレブン,35.7035091,139.5835197
518441864,node,ファミリーマート,35.7844022,139.9012231
519703379,node,セブン-イレブン,35.6578388,139.6675668
519966983,node,,35.6388836,139.6682352
527820627,node,ローソン,35.7814903,139.9420863
527990980,node,セブン-イレブン,35.7728091,139.9419574
534393984,node,セブン-イレブン,35.7560826,139.6645464
534685432,node,セブン-イレブン,35.7893135,139.9167479
539298689,node,ファミリーマート,35.6619024,139.6075240
539466013,node,セブン-イレブン,35.6537373,139.6643025
548635726,node,セブン-イレブン,35.6899685,139.5747839
548659720,node,ファミリーマート,35.6869453,139.5668872
555726623,node,ファミリーマート,35.7015619,139.5613937
558685088,node,セブン-イレブン,35.6783993,139.6398046
559393645,node,ローソン 松戸店,35.7799886,139.9011838
563665430,node,セブン-イレブン,35.6789353,139.6570631
563791615,node,ローソンストア100,35.6966453,139.6863385
566632858,node,ファミリーマート,35.6481458,139.6448846
569092565,node,セブン-イレブン,35.6710675,139.6255405
573331071,node,ローソン,35.6642315,139.6678078
573357832,node,セブン-イレブン,35.6792007,139.6691066
573368654,node,ファミリーマート,35.7577488,139.6525837
573368655,node,セブン-イレブン,35.7569246,139.6513707
574279972,node,ファミリーマート,35.6315013,139.5817226
574290011,node,ファミリーマート,35.6267037,139.5864574
574824422,node,セブン-イレブン,35.6940690,139.8078060
574834675,node,ファミリーマート,35.6977265,139.8075277
575735323,node,ナチュラルローソン,35.6910799,139.7453447
575911218,node,ファミリーマート,35.6821841,139.8035903
575915214,node,セブン-イレブン,35.6822426,139.8058731
575932737,node,ファミリーマート,35.6882283,139.8058562
575936819,node,ファミリーマート,35.6883037,139.8065565
575940510,node,セブン-イレブン,35.6883697,139.8083037
577247583,node,セブン-イレブン,35.6978562,139.8103030
579690521,node,セブン-イレブン,35.6456976,139.6287224
580958310,node,ローソン,35.6421427,139.6085243
581120342,node,セブン-イレブン,35.6442469,139.6088780
581856372,node,ローソン,35.7016468,139.6907293
581974462,node,ミニストップ,35.6954210,139.8026280
587670309,node,セブン-イレブン,35.7530731,139.6605016
587677419,node,ファミリーマート,35.7594630,139.6590911
587697061,node,ミニストップ,35.7643069,139.6738522
588380577,node,ファミリーマート,35.6192021,139.5712177
588411733,node,ファミリーマート,35.6149644,139.5796090
588424305,node,Lawson,35.6150347,139.5874703
593856520,node,セブン-イレブン,35.6567283,139.6475835
593985691,node,ファミリーマート,35.5734294,139.7058652
593985815,node,ミニストップ,35.5724293,139.7052179
597009165,node,ミニストップ,35.6725277,139.6513507
597695255,node,ローソン,35.6628150,139.6944882
597715262,node,ローソン,35.6623242,139.6968304
598384107,node,ファミリーマート,35.6692239,139.6237269
598391560,node,セブン-イレブン,35.6708542,139.6230548
599435196,node,セブン-イレブン,35.7519868,139.7099140
603027368,node,ローソンストア100,35.6214481,139.5684614
603056001,node,セブン-イレブン,35.6112345,139.5932662
603156919,node,ファミリーマート,35.6203699,139.5729501
603556341,node,ファミリーマート,35.6922208,139.7790802
603902286,node,ローソン,35.6690690,139.6893382
604108327,node,セブン-イレブン,35.5527378,139.6451161
604239857,node,セブン-イレブン,35.6610104,139.6728499
604240119,node,ファミリーマート,35.6611653,139.6725843
604244643,node,ローソン,35.6616569,139.6695718
608091160,node,セブン-イレブン,35.7843374,139.6095737
610256841,node,セブン-イレブン,35.6714825,139.6661585
610827733,node,セブン-イレブン,35.6362335,139.5886279
614219161,node,ファミリーマート,35.6478049,139.7089918
617028913,node,ローソン,35.6488023,139.7095875
618615798,node,セブン-イレブン,35.6716163,139.6090794
623142142,node,ファミリーマート,35.7059831,139.6824297
625563981,node,ローソン,35.6550182,139.6966856
625578229,node,ファミリーマート,35.6537927,139.6920957
625690222,node,セブン-イレブン,35.6525663,139.6774273
631424552,node,ローソン,35.6401123,139.7387388
631486341,node,ミニストップ,35.6935297,139.7765467
631495905,node,ローソン,35.6346250,139.7122927
631609824,node,ローソン,35.6561111,139.6676414
637013815,node,ファミリーマート,35.6347621,139.7133134
637946661,node,セブン-イレブン,35.7763953,139.6240508
638932495,node,サークルK 調布成城富士見橋店,35.6470723,139.5921136
638961417,node,ミニストップ,35.6643686,139.5834797
647956410,node,セブン-イレブン,35.6432263,139.6660057
648817188,node,ファミリーマート,35.7711217,139.7132745
648981248,node,セブン-イレブン,35.7535750,139.5959807
649042719,node,ファミリーマート,35.6407704,139.5997005
652665894,node,セブン-イレブン,35.6578050,139.6606846
655950619,node,ヤマザキデイリーストア,35.6743796,139.6106510
655950712,node,ローソンストア100,35.6837181,139.6074247
656195495,node,セブン-イレブン,35.6802295,139.6362441
659502261,node,ファミリーマート,35.6452067,139.6169001
661060810,node,サンクス,35.6541284,139.5640791
664933535,node,セブン-イレブン,35.7640637,139.6251756
666924599,node,セブン-イレブン,35.6221395,139.5675915
667756132,node,ファミリーマート,35.6195637,139.6628204
667756136,node,セブン-イレブン,35.6206584,139.6672498
670349175,node,セブン-イレブン,35.6737835,139.6666910
670374625,node,ファミリーマート南台中野通り店,35.6834026,139.6695034
670739633,node,ファミリーマート,35.7030745,139.7639057
671149020,node,ローソンストア100,35.7431023,139.6049531
671170534,node,ローソン,35.7517203,139.9466819
676682292,node,ミニストップ,35.7297926,139.5961219
677539657,node,ファミリーマート,35.6600973,139.5556494
678611398,node,ローソン,35.6958203,139.5779819
678621299,node,セブン-イレブン,35.6973412,139.5825789
679639749,node,ファミリーマート,35.6631704,139.7455614
686510448,node,ローソン,35.6474127,139.7072920
686573594,node,ファミリーマート,35.6473083,139.7083017
690357246,node,ファミリーマート,35.6013036,139.7219238
691085223,node,ヤマザキデイリーストア,35.6037888,139.7235298
693091209,node,ファミリーマート 松原六丁目店,35.6604472,139.6519539
693129030,node,ローソン,35.6643854,139.6656249
699678960,node,ファミリーマート,35.7512340,139.6655843
700789001,node,ファミリーマート,35.7530942,139.6793192
700848198,node,セブン-イレブン,35.5262085,139.6228901
701769778,node,ファミリーマート,35.7157320,139.8608929
701769807,node,セブン-イレブン,35.7154395,139.8641184
701811042,node,セブン-イレブン,35.6711006,139.7051698
701816824,node,ファミリーマート,35.6671950,139.7055540
701819071,node,ローソン,35.6682470,139.7065610
701831694,node,ローソン,35.6559993,139.7042969
701888147,node,ミニストップ,35.6863910,139.6957150
702359533,node,FamilyMart,35.7309915,139.8637838
703544285,node,ミニストップ,35.7041150,139.6093987
703687901,node,ミニストップ,35.7859103,139.6241875
705776037,node,デイリーヤマザキ大門通り店,35.7318734,139.9070048
705890553,node,ローソン,35.6458447,139.7076286
706933653,node,ローソン,35.8004689,139.7991933
711572616,node,ファミリーマート,35.5893983,139.6426945
711690628,node,ミニストップ,35.8044581,139.9470611
715941004,node,ローソン,35.7097876,139.8432869
720618411,node,セブン-イレブン,35.5861805,139.6411747
720618412,node,ローソン,35.5814164,139.6418810
720620382,node,セブン-イレブン,35.5807806,139.6436391
720634484,node,ローソン,35.5909733,139.6355393
720947238,node,セブン-イレブン,35.7211177,139.8549227
720947347,node,ローソン,35.7173945,139.8569388
720947356,node,セブン-イレブン,35.7183881,139.8567352
720947370,node,セブン-イレブン,35.7213286,139.8603707
722158537,node,ファミリーマート,35.7026291,139.6711533
725273317,node,ローソン,35.5814214,139.6399910
725873180,node,ローソン,35.5773622,139.6542105
727069708,node,セブン-イレブン,35.5798562,139.6411511
727069739,node,セブン-イレブン,35.5776917,139.6403645
727069764,node,ファミリーマート,35.5799863,139.6415285
728602758,node,セブン-イレブン,35.7428504,139.6811738
728602759,node,ファミリーマート,35.7427413,139.6814387
728602767,node,ファミリーマート,35.7403297,139.6865567
728602773,node,ファミリーマート,35.7440695,139.6808184
728602787,node,ファミリーマート,35.7466106,139.6915329
728602791,node,ファミリーマート,35.7495029,139.6806571
728602794,node,ファミリーマート,35.7501691,139.6868902
729665588,node,ローソンストア100,35.5801429,139.6411936
730230019,node,セブン-イレブン,35.7461640,139.8256800
730295516,node,セブン-イレブン,35.7298082,139.8409731
730438998,node,セブン-イレブン,35.8890365,139.7688422
730905910,node,セブン-イレブン,35.5498628,139.6206104
731459479,node,セブン-イレブン,35.6480974,139.7048936
